gene_id	R1_1	R2_1	R3_1	R4_1	R6_1	RG1_1	RG3_1	RG4_1	RG5_1	RG6_1	RY1_1	RY3_1	RY4_1	RY5_1	RY6_1	R1_2	R2_2	R4_2	R6_2	RG1_2	RG2_2	RG3_2	RG4_2	RG6_2	RY1_2	RY2_2	RY3_2	RY5_2	RY7_2	R1_3	R2_3	R3_3	R5_3	R6_3	R7_3	RG1_3	RG2_3	RG3_3	RG4_3	RG6_3	RY3_3	RY4_3	RY5_3	RY6_3	RY7_3	B2_1	B3_1	B4_1	B5_1	B6_1	BG1_1	BG2_1	BG3_1	BG4_1	BG5_1	BY1_1	BY2_1	BY3_1	BY4_1	BY5_1	B1_2	B2_2	B3_2	B4_2	B5_2	BG1_2	BG2_2	BG3_2	BG4_2	BG5_2	BY1_2	BY2_2	BY4_2	BY5_2	B1_3	B2_3	B3_3	B4_3	B5_3	BG1_3	BG2_3	BG3_3	BG5_3	BG6_3	BY1_3	BY2_3	BY3_3	BY4_3	BY5_3	BY6_3
patho_DN102240_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	10.00	4.00	2.00	1.00	21.00	3.00	5.00	5.00	1.00	2.00	6.00	0.00	46.00	42.00	4.00	45.00	1.00	46.00	33.54	11.00	47.00	16.00	13.00	45.00	27.00	16.00	9.00	24.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	5.00	1.00	1.00	0.00	0.00	5.00	20.00	14.00	12.00	6.00	19.00	9.00	3.00	147.00	7.00	54.00	29.00	12.00	0.00	9.00	32.00	63.00
patho_DN102240_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	4.00	45.00	30.00	2.00	4.00	65.00	26.00	12.00	21.91	3.00	12.00	31.00	1.00	135.00	153.98	23.00	139.00	2.00	126.00	50.00	41.00	149.00	50.00	30.07	116.00	110.00	57.00	51.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	4.00	0.00	1.00	17.00	2.00	0.00	0.00	10.00	2.00	23.99	12.00	0.00	6.00	28.00	35.00	57.91	18.00	35.00	41.00	14.00	531.30	10.00	157.00	105.00	33.00	1.00	20.00	109.00	220.71
patho_DN102247_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	11.00	34.00	26.00	7.00	10.00	50.13	34.00	15.00	15.00	7.00	9.00	32.00	5.00	97.00	112.00	29.00	69.00	0.00	66.00	26.00	32.00	89.00	35.00	25.00	69.00	72.00	27.00	41.00	45.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	3.00	0.00	1.00	18.00	9.00	2.00	0.00	10.00	8.00	20.00	13.00	2.00	10.95	20.00	46.00	34.00	7.00	26.00	27.00	14.00	418.00	9.00	124.00	61.00	30.00	3.00	19.00	47.00	136.00
patho_DN102291_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	14.00	51.01	35.00	5.00	5.78	63.00	33.09	10.00	17.00	10.00	10.00	34.00	1.00	109.00	91.00	20.00	102.00	0.00	115.00	47.00	55.00	109.00	31.01	31.00	83.01	108.00	39.00	38.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	1.00	1.00	0.00	20.00	7.00	2.00	0.00	11.00	4.00	29.00	16.00	3.00	4.00	36.00	22.00	48.00	14.00	27.00	41.00	22.00	457.00	10.00	146.00	96.00	49.00	3.00	29.00	63.01	120.00
patho_DN102291_c1_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	74.07	26.99	52.01	68.00	40.00	29.00	43.78	21.12	48.00	43.00	35.12	96.04	7.78	18.77	45.00	29.00	80.02	2.00	27.00	41.00	26.16	31.07	45.02	22.00	32.47	42.76	43.00	62.00	28.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	43.05	6.36	0.00	0.00	60.54	34.00	9.91	15.88	54.98	37.00	69.00	65.52	2.74	66.00	10.12	14.01	34.37	19.01	19.53	61.04	39.00	81.62	30.00	211.33	56.00	16.59	38.32	16.00	48.74	74.13
patho_DN102302_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	6.00	18.00	23.00	3.00	11.01	20.00	17.00	6.00	16.00	5.00	9.00	13.00	2.00	55.00	43.00	11.00	63.00	11.00	64.00	25.00	17.00	43.00	34.33	19.00	42.95	43.00	22.07	28.00	30.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	7.00	3.00	0.00	1.00	5.00	0.00	13.99	11.00	0.00	13.00	19.00	36.99	34.00	9.00	15.00	17.00	8.00	122.00	4.00	68.00	21.00	23.00	3.00	13.00	27.00	56.97
patho_DN102359_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	116.00	27.00	53.00	181.00	29.00	23.00	32.00	54.00	36.00	136.00	31.00	90.00	159.00	33.00	48.00	93.00	42.00	337.00	1.00	43.00	98.00	60.99	179.00	149.00	81.00	84.00	64.01	22.20	212.00	73.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	88.00	14.00	9.00	10.00	119.00	16.00	9.00	11.00	27.00	57.00	53.00	28.00	7.00	173.00	16.00	62.00	52.00	59.00	38.00	65.00	48.00	136.70	25.00	236.85	103.00	42.00	39.00	14.00	25.00	71.00
patho_DN102359_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	49.00	19.00	232.00	265.00	10.00	14.98	109.00	83.00	30.00	102.00	13.99	68.97	81.00	25.00	424.95	501.94	35.00	791.25	26.00	470.00	282.65	153.00	960.00	276.00	173.06	569.00	464.00	201.00	329.00	341.00	2.92	0.00	0.00	0.93	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.85	0.00	0.00	56.00	9.00	4.00	3.00	64.00	12.94	1.00	1.00	9.00	17.00	67.00	20.00	1.99	41.00	123.00	205.00	292.00	96.00	191.00	138.39	64.00	1346.06	29.00	476.99	440.00	275.00	16.00	117.00	267.00	532.00
patho_DN102414_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	7.00	40.00	23.00	5.00	5.00	55.00	18.00	14.00	13.00	6.00	4.00	13.00	3.00	148.00	103.00	23.00	145.01	3.00	110.00	67.00	27.00	154.00	35.00	5.00	103.00	139.00	44.00	33.00	59.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	1.00	0.00	0.00	9.00	4.00	1.00	0.00	12.00	6.00	25.00	9.00	0.00	4.00	25.00	46.00	59.00	5.00	51.00	48.00	10.00	731.99	11.00	181.00	106.00	40.00	2.00	17.00	105.00	196.00
patho_DN102426_c0_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	14.00	64.00	62.00	5.00	12.00	60.00	36.00	9.00	18.00	14.00	7.00	43.00	6.00	219.00	213.00	24.00	179.00	2.00	236.00	130.00	70.00	226.00	65.00	51.00	188.94	204.00	92.00	102.00	127.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	2.00	0.00	0.00	15.00	8.00	0.00	0.00	15.00	4.00	27.00	20.00	0.00	4.00	72.00	63.00	104.00	23.00	62.00	95.00	25.00	1005.00	14.00	240.00	160.00	86.00	7.00	54.00	169.01	328.97
